Reporting-starts,Reporting-ends,Ad-name,Country,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 15,CA,99,0,0.00,0.00%,,,0.26
2025-01-01,2026-01-01,FB — 15,GB,49,2,0.10,4.08%,,,0.19
2025-01-01,2026-01-01,FB — 15,US,39,1,0.07,2.56%,,,0.07
2025-01-01,2026-01-01,FB — 16,AU,39,0,0.00,0.00%,,,0.43
2025-01-01,2026-01-01,FB — 16,CA,288,4,0.50,1.39%,,,1.98
2025-01-01,2026-01-01,FB — 16,DE,19,0,0.00,0.00%,,,0.14
2025-01-01,2026-01-01,FB — 16,GB,84,0,0.00,0.00%,,,0.57
2025-01-01,2026-01-01,FB — 16,US,155,0,0.00,0.00%,,,2.32
2025-01-01,2026-01-01,FB — 17,AU,21,0,0.00,0.00%,,,0.15
2025-01-01,2026-01-01,FB — 17,CA,97,3,0.15,3.09%,,,0.44
2025-01-01,2026-01-01,FB — 17,GB,64,2,0.12,3.13%,,,0.24
2025-01-01,2026-01-01,FB — 17,US,47,4,0.08,8.51%,,,0.32
2025-01-01,2026-01-01,FB — 18,AU,17,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 18,CA,54,0,0.00,0.00%,,,0.16
2025-01-01,2026-01-01,FB — 18,GB,45,2,0.10,4.44%,,,0.19
2025-01-01,2026-01-01,FB — 18,US,51,0,0.00,0.00%,,,0.26
2025-01-01,2026-01-01,FB — 19,AU,170,12,0.06,7.06%,,,0.74
2025-01-01,2026-01-01,FB — 19,CA,294,13,0.07,4.42%,,,0.92
2025-01-01,2026-01-01,FB — 19,GB,420,19,0.10,4.52%,,,1.81
2025-01-01,2026-01-01,FB — 19,US,246,13,0.12,5.28%,,,1.59
2025-01-01,2026-01-01,FB — 2,AL,142,2,0.07,1.41%,,,0.14
2025-01-01,2026-01-01,FB — 2,AR,48028,606,0.05,1.26%,10,,28.63
2025-01-01,2026-01-01,FB — 2,AU,438,1,0.14,0.23%,,,0.14
2025-01-01,2026-01-01,FB — 2,AT,213,2,0.02,0.94%,,,0.04
2025-01-01,2026-01-01,FB — 2,BE,360,0,0.00,0.00%,,,0.25
2025-01-01,2026-01-01,FB — 2,BA,28,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 2,BR,25979,179,0.13,0.69%,7,,23.43
2025-01-01,2026-01-01,FB — 2,BG,5,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,CA,274,1,0.23,0.36%,,,0.23
2025-01-01,2026-01-01,FB — 2,CV,154667,762,0.02,0.49%,9,,13.34
2025-01-01,2026-01-01,FB — 2,CL,8079,69,0.10,0.85%,,,6.97
2025-01-01,2026-01-01,FB — 2,CO,255662,3164,0.03,1.24%,39,,109.21
